"product_reference";"source_name";"source_category";"source_type";"source_row_count";"odoo_id";"odoo_name";"odoo_category";"odoo_type";"odoo_active";"decision";"notes"
"00009221V1";"LEVE VITRE ELEC AVG C4";"Autres";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"1034902-00-P";"RR DOOR ROOF GLASS ASY, LH";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"1034903-00-Q";"RR DOOR ROOF GLASSY ASY, RH";"Glace laterale";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"1364076080";"CUSTODE ARG FIAT DUCATO";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"1606972480";"FAISCEAU PROJECTEUR";"Autres";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"1612401680";"PEUGEOT BOXER III 330-L2H2 PHASE 2 - 3P";"Autres";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"17/03 : COTTET Eric";"PB VT BERLINGO/PARTNER EMB  08-18";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"1813222";"TOIT PANORAMIQUE";"Autres";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"1941015D";"PHARE  AVG SKODA Fabia";"Autres";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"198679";"FEU ARG";"Autres";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"1P0845051ACNBV";"LUNETTE AR SEAT LEON";"Lunette";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"1S0827505E9B9";"SERRURE VW UP";"Autres";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"1S0827566A3FZ";"COMMANDE VW UP";"Autres";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"1S0845051BCNVB";"LUN VOLKSWAGEN UP! (12) PHASE 2";"Lunette";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"1Z0941701";"FEU ANTIBROUILLARD AVG SKODA OCTAVIA";"Autres";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"1Z0941702";"FEU ANTIBROUILLARD AVD SKODA OCTAVIA";"Autres";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2034AGN";"PB VT ALFA 156                     97-05";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2034AGNP1B";"PB VT ALFA 156 CAPT          97-05";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2034ASMS";"JC PB ALFA 156                     97-05";"Joint";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2037AGS";"PB VT ALFA ROMEO 147 3/5P            00-";"Pare-brise";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2037ASMH";"JC PB ALFA ROMEO 147           00-04";"Joint";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2038AGS";"PB VT ALFA GT                      03-10";"Pare-brise";"product";"3";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2038ASMC";"JC PB ALFA ROMEO GT                03-10";"Joint";"product";"3";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2039AGSM1B";"PB VT ALFA 159 CAPT                05-11";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2039ASMS";"JC PB ALFA 159                     05-11";"Joint";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2042LGSH3FD";"DESC AVG ALFA MITO 3P    08-";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2045BGNHA";"LUN.VT ALFA GIULIETTA             10-";"Lunette";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2050RGSR5RD";"DESC ARD VT ALFA ROMEO TONALE 22-";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2234520";"PB VT CAPT FORD ECOSPORT";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2251BCLR";"LUN CL MG ZS  17-";"Lunette";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2251RCLR5RDW";"GLACE DESCENDANTE ARRIÈRE GAUCHE CLAIR MG ZS 17-";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2253RGAR5FDKW";"DESC AVD VT ACO FEUIL MG MARVEL R  21-";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2301AGACMUVZ";"PB VT AC SERIE 4 G26 4P CAP CAM HUD 21-";"Pare-brise";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2303AGACMUVZ1L";"PB VT AC BMW X1 U11 CAPT 2 CAM HUD 22-";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2425ACL";"PB CL BMW SERIE 3 E30              83-90";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2425AGNBL";"PB VTBL BMW SERIE 3 E30            83-90";"Pare-brise";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2425AKRS";"JT CLE PB KIT COMP  BMW SIE 3 E30 83-90";"Joint";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2425ASCC";"KIT CLE CHROMEE PARE-BRISE BMW SERIE 3E21 E30";"Joint";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2425ASRS";"JT PB BMW SERIE 3 E30 A ENJ        83-90";"Joint";"product";"3";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2427RGNS4RD";"GLACE DESCENDANTE ARRIÈRE DROIT TEINTÉ VERT SERIE 7 E32 COURT 87-94MO 0,75";"Glace laterale";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2431AGNV";"PB VT BMW SIE 3 E36 4P+COMPACT 91-96";"Pare-brise";"product";"3";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2431ASMST";"JC SUP.PB BMW SERIE 3 E36 BNE 91-96";"Joint";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2432AGNBLV";"PB VTBL BMW SIE 3 E36 CPE/CABR     92-98";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2432ASMC";"JC PB BMW SERIE 3 E36 CPE/CABR  91-99";"Joint";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2433AGNGNHV";"PARE-BRISE TEINTÉ VERT DÉGRADÉ VERT BMW SERIE 7 E38 CHAUFFANT 95-00MO 3.00";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2434AGNGNPV1B";"PARE-BRISE TEINTÉ VERT DÉGRADÉ VERT CAPTEUR DE PLUIE PLUIE SERIE 5 01-03MO 2,80";"Pare-brise";"product";"1";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
"2434AGNGNV";"PARE-BRISE TEINTÉ VERT DÉGRADÉ VERT BMW SERIE 5 E39 96-03MO 2.60";"Pare-brise";"product";"2";"";"";"";"";"";"create_candidate";"Reference absente du catalogue Odoo; validation metier requise."
