source_place;warehouse;location_parent;location_name;location_complete_name;mapping_status;source_row_count;notes
!!!;;;;;to_check;2;Source observee sur 2 ligne(s). Valeur heterogene : rattachement a confirmer.
-;;;;;to_check;4;Source observee sur 4 ligne(s). Valeur heterogene : rattachement a confirmer.
?;;;;;to_check;2;Source observee sur 2 ligne(s). Valeur heterogene : rattachement a confirmer.
???;;;;;to_check;11;Source observee sur 11 ligne(s). Valeur heterogene : rattachement a confirmer.
AVION;;;;;to_check;8;Source observee sur 8 ligne(s). Valeur heterogene : rattachement a confirmer.
CAISSE PLEINE;;;;;to_check;3;Source observee sur 3 ligne(s). Valeur heterogene : rattachement a confirmer.
CARTON;;;;;to_check;8;Source observee sur 8 ligne(s). Valeur heterogene : rattachement a confirmer.
CASSE;;;RPBM: Scrap;Virtual Locations/RPBM: Scrap;proposed;183;Source observee sur 183 ligne(s). Ne doit pas alimenter le stock vendable.
CENTRE;;;;;to_check;2;Source observee sur 2 ligne(s). Nature de la zone et rattachement a un entrepot a confirmer.
Caisse;;;;;to_check;17;Source observee sur 17 ligne(s). Valeur heterogene : rattachement a confirmer.
Caisse - R117 ?;;;;;to_check;2;Source observee sur 2 ligne(s). Valeur heterogene : rattachement a confirmer.
Caisse D2;;;;;to_check;19;Source observee sur 19 ligne(s). Valeur heterogene : rattachement a confirmer.
Caisse Joints;;;;;to_check;1;Source observee sur 1 ligne(s). Valeur heterogene : rattachement a confirmer.
Carton;;;;;to_check;4;Source observee sur 4 ligne(s). Valeur heterogene : rattachement a confirmer.
Carton Joints;;;;;to_check;7;Source observee sur 7 ligne(s). Valeur heterogene : rattachement a confirmer.
Casse;;;RPBM: Scrap;Virtual Locations/RPBM: Scrap;proposed;1;Source observee sur 1 ligne(s). Ne doit pas alimenter le stock vendable.
Centre;;;;;to_check;1320;Source observee sur 1320 ligne(s). Nature de la zone et rattachement a un entrepot a confirmer.
D2;RPBM;RPBM/Stock D2;Stock D2;RPBM/Stock D2;existing_root;92;Source observee sur 92 ligne(s). Racine Odoo existante en preproduction.
D2 (Joints);;;;;to_check;22;Source observee sur 22 ligne(s). Valeur heterogene : rattachement a confirmer.
D2 (à terre);;;;;to_check;1;Source observee sur 1 ligne(s). Valeur heterogene : rattachement a confirmer.
D2 - Suspendu;;;;;to_check;1;Source observee sur 1 ligne(s). Valeur heterogene : rattachement a confirmer.
D2 ?;RPBM;RPBM/Stock D2;Stock D2;RPBM/Stock D2;existing_root;1;Source observee sur 1 ligne(s). Racine Odoo existante en preproduction.
D2 Joints;;;;;to_check;2;Source observee sur 2 ligne(s). Valeur heterogene : rattachement a confirmer.
DEBOUT D2;;;;;to_check;2;Source observee sur 2 ligne(s). Valeur heterogene : rattachement a confirmer.
DOMICILE;;;;;to_check;10;Source observee sur 10 ligne(s). Valeur heterogene : rattachement a confirmer.
Dcarton;;;;;to_check;9;Source observee sur 9 ligne(s). Valeur heterogene : rattachement a confirmer.
Dépôt 1;;;;;to_check;25;Source observee sur 25 ligne(s). Valeur heterogene : rattachement a confirmer.
Dépôt 2;;;;;to_check;17;Source observee sur 17 ligne(s). Valeur heterogene : rattachement a confirmer.
GALLERA;;;;;to_check;1;Source observee sur 1 ligne(s). Valeur heterogene : rattachement a confirmer.
GALLERIA;GALLERIA;;;;source_warehouse;468;"Source observee sur 468 ligne(s). Entrepot source confirme; rattachement vers la structure Odoo a definir."
GALLERiA;GALLERiA;;;;source_warehouse;1;"Source observee sur 1 ligne(s). Entrepot source confirme; rattachement vers la structure Odoo a definir."
GENIPA;GENIPA;;;;source_warehouse;204;"Source observee sur 204 ligne(s). Entrepot source confirme; rattachement vers la structure Odoo a definir."
Galleria;Galleria;;;;source_warehouse;3;"Source observee sur 3 ligne(s). Entrepot source confirme; rattachement vers la structure Odoo a definir."
Galléria;Galléria;;;;source_warehouse;79;"Source observee sur 79 ligne(s). Entrepot source confirme; rattachement vers la structure Odoo a definir."
Génipa;Génipa;;;;source_warehouse;58;"Source observee sur 58 ligne(s). Entrepot source confirme; rattachement vers la structure Odoo a definir."
J001;Depot 2;Depot 2/Stock;J001;Depot 2/Stock/J001;mapped;5;Source observee sur 5 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J002;Depot 2;Depot 2/Stock;J002;Depot 2/Stock/J002;mapped;16;Source observee sur 16 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J003;Depot 2;Depot 2/Stock;J003;Depot 2/Stock/J003;mapped;4;Source observee sur 4 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J004;Depot 2;Depot 2/Stock;J004;Depot 2/Stock/J004;mapped;4;Source observee sur 4 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J005;Depot 2;Depot 2/Stock;J005;Depot 2/Stock/J005;mapped;10;Source observee sur 10 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J005 + Tringle;;;;;to_check;1;Source observee sur 1 ligne(s). Valeur heterogene : rattachement a confirmer.
J006;Depot 2;Depot 2/Stock;J006;Depot 2/Stock/J006;mapped;6;Source observee sur 6 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J007;Depot 2;Depot 2/Stock;J007;Depot 2/Stock/J007;mapped;4;Source observee sur 4 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J008;Depot 2;Depot 2/Stock;J008;Depot 2/Stock/J008;mapped;4;Source observee sur 4 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J009;Depot 2;Depot 2/Stock;J009;Depot 2/Stock/J009;mapped;1;Source observee sur 1 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J010;Depot 2;Depot 2/Stock;J010;Depot 2/Stock/J010;mapped;4;Source observee sur 4 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J011;Depot 2;Depot 2/Stock;J011;Depot 2/Stock/J011;mapped;2;Source observee sur 2 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J012;Depot 2;Depot 2/Stock;J012;Depot 2/Stock/J012;mapped;1;Source observee sur 1 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J013;Depot 2;Depot 2/Stock;J013;Depot 2/Stock/J013;mapped;1;Source observee sur 1 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J014;Depot 2;Depot 2/Stock;J014;Depot 2/Stock/J014;mapped;2;Source observee sur 2 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J015;Depot 2;Depot 2/Stock;J015;Depot 2/Stock/J015;mapped;1;Source observee sur 1 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J017;Depot 2;Depot 2/Stock;J017;Depot 2/Stock/J017;mapped;1;Source observee sur 1 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J018;Depot 2;Depot 2/Stock;J018;Depot 2/Stock/J018;mapped;1;Source observee sur 1 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J021;Depot 2;Depot 2/Stock;J021;Depot 2/Stock/J021;mapped;1;Source observee sur 1 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J024;Depot 2;Depot 2/Stock;J024;Depot 2/Stock/J024;mapped;2;Source observee sur 2 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J10;Depot 2;Depot 2/Stock;J10;Depot 2/Stock/J10;mapped;2;Source observee sur 2 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J108;Depot 2;Depot 2/Stock;J108;Depot 2/Stock/J108;mapped;2;Source observee sur 2 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J10A;Depot 2;Depot 2/Stock;J10A;Depot 2/Stock/J10A;mapped;19;Source observee sur 19 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J10B;Depot 2;Depot 2/Stock;J10B;Depot 2/Stock/J10B;mapped;42;Source observee sur 42 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J10C;Depot 2;Depot 2/Stock;J10C;Depot 2/Stock/J10C;mapped;12;Source observee sur 12 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J10D;Depot 2;Depot 2/Stock;J10D;Depot 2/Stock/J10D;mapped;31;Source observee sur 31 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J10E;Depot 2;Depot 2/Stock;J10E;Depot 2/Stock/J10E;mapped;26;Source observee sur 26 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J10F;Depot 2;Depot 2/Stock;J10F;Depot 2/Stock/J10F;mapped;7;Source observee sur 7 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J10G;Depot 2;Depot 2/Stock;J10G;Depot 2/Stock/J10G;mapped;9;Source observee sur 9 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J11A;Depot 2;Depot 2/Stock;J11A;Depot 2/Stock/J11A;mapped;6;Source observee sur 6 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J11B;Depot 2;Depot 2/Stock;J11B;Depot 2/Stock/J11B;mapped;2;Source observee sur 2 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J11C;Depot 2;Depot 2/Stock;J11C;Depot 2/Stock/J11C;mapped;7;Source observee sur 7 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J11D;Depot 2;Depot 2/Stock;J11D;Depot 2/Stock/J11D;mapped;3;Source observee sur 3 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J11E;Depot 2;Depot 2/Stock;J11E;Depot 2/Stock/J11E;mapped;3;Source observee sur 3 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J11F;Depot 2;Depot 2/Stock;J11F;Depot 2/Stock/J11F;mapped;9;Source observee sur 9 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
J11G;Depot 2;Depot 2/Stock;J11G;Depot 2/Stock/J11G;mapped;8;Source observee sur 8 ligne(s). Rattache a Depot 2 (repartition RPBM du 2026-08-05).
