product_reference;product_name;source_type;target_category;target_subcategory;product_type;stockable;eurocode_format_valide;supplier;purchase_price;cost_price;public_price;other_code;internal_eurocode;eurocode_divergent;source_row_count;source_places;import_status;notes
00009221V1;LEVE VITRE ELEC AVG C4;LEVE-VITRE;Autres;Leve-vitre;product;true;true;HHH;63,27;63,27;63,27;;00009221V1;false;1;GALLERIA;import;Rapprochement Odoo par default_code a effectuer.
1034902-00-P;RR DOOR ROOF GLASS ASY, LH;GLACES LATERALES;Glace laterale;;product;true;true;TESLA;1116;1116;1116;;1034902-00-P;false;1;R909;import;Rapprochement Odoo par default_code a effectuer.
1034903-00-Q;RR DOOR ROOF GLASSY ASY, RH;GLACES LATERALES;Glace laterale;;product;true;true;TESLA;1116;1116;1116;1034903-90-J;1034903-00-Q;false;2;CASSE | R936;import;Doublon source consolide : controler quantites, prix et emplacements.
1364076080;CUSTODE ARG FIAT DUCATO;GLACES LATERALES;Glace laterale;;product;true;true;VSF Centre;368,75;811,25;368,75;1364076080;1364076080;false;1;Centre;import;Rapprochement Odoo par default_code a effectuer.
1606972480;FAISCEAU PROJECTEUR;FAISCEAU;Autres;Optique;product;true;true;BLUE AUTO;130,35;130,35;130,35;;1606972480;false;1;GALLERIA;import;Rapprochement Odoo par default_code a effectuer.
1612401680;PEUGEOT BOXER III 330-L2H2 PHASE 2 - 3P;FEU;Autres;Optique;product;true;true;HHH;85,82;85,82;85,82;;1612401680;false;1;GALLERIA;import;Rapprochement Odoo par default_code a effectuer.
17/03 : COTTET Eric;PB VT BERLINGO/PARTNER EMB  08-18;PARE BRISE;Pare-brise;;product;true;false;VSF Centre;84,18;185,2;105,23;;17/03 : COTTET Eric;false;1;R107;exclusion_format_eurocode;Rapprochement Odoo par default_code a effectuer. EXCLUE DE L'IMPORT (decision RPBM du 2026-08-05, D3) : format d'eurocode suspect (annotation, code constructeur, texte libre). Sans x_studio_eurocode valide, la fiche serait invisible au widget rpbm_agent et non synchronisable. A reprendre a la main dans le fichier Excel si la reference doit exister.
1813222;TOIT PANORAMIQUE;VITRE PAVILLON;Autres;Toit panoramique;product;true;true;CENTRE AUTO;1023,83;1023,83;1023,83;;1813222;false;1;Centre;import;Rapprochement Odoo par default_code a effectuer.
1941015D;PHARE  AVG SKODA Fabia;PHARES;Autres;Optique;product;true;true;AUTODIS;340,1;748,21;425,12;;;false;1;GALLERIA;import;Rapprochement Odoo par default_code a effectuer.
198679;FEU ARG;OPTIQUE;Autres;Optique;product;true;true;AAAM;438,02;963,65;547,53;;198679;false;1;GALLERIA;import;Rapprochement Odoo par default_code a effectuer.
